Image,ID,Type,Tier,Stats,Actions,Weakness,Description
,Guard,Civilized,"Tier 1, Mob",,,"Topping, Magic",
,Slime,Savage,"Tier 1, Mob",,,"Bottoming, Topping, Physical",
,Cockatrice,Savage,"Tier 1, Mob",,,Topping,
,Warrior,Tribal,"Tier 1, Mob",,,"Topping, Magic",
,Goblin,Tribal,"Tier 1, Mob",,,"Bottoming, Topping",
,Mycelia,Tribal,"Tier 1, Quest Target",,,"Topping, Physical",
,Zombie,Undead,"Tier 1, Mob",,,"Topping, Physical",
,Augmented,Civilized,"Tier 2, Elite",,,Magic,
,Kunoichi,Civilized,"Tier 2, Elite",,,"Topping, Physical",
,Krakenblood,Loner,"Tier 2, Elite",,,"Bottoming, Physical",
,Kitsune,Loner,"Tier 2, Elite",,,"Bottoming, Topping",
,Barbarian,Tribal,"Tier 2, Elite",,,"Bottoming, Magic",
,Royal Guard,Civilized,"Tier 2, Mob",,,Bottoming,
,Minotaur,Savage,"Tier 2, Mob",,,"Bottoming, Magic",
,Wolfkin,Savage,"Tier 2, Mob",,,"Bottoming, Magic",
,Orc,Tribal,"Tier 2, Mob",,,"Bottoming, Magic",
,Haunt,Loner,"Tier 2, Mob",,,"Topping, Magic",
,Witch,Loner,"Tier 2, Quest Target",,,"Bottoming, Topping, Physical",
,Mummy,Undead,"Tier 2, Quest Target",,,"Bottoming, Physical",
,Dullahan,Undead,"Tier 3, Quest Target",,,Bottoming,
,Angel,Civilized,"Tier 3, Quest Target",,,Topping,
,Dragonkin,Loner,"Tier 3, Quest Target",,,Bottoming,
,Fallen Angel,Loner,"Tier 3, Quest Target",,,"Bottoming, Topping",
,Lamia,Loner,"Tier 3, Quest Target",,,"Topping, Physical",
,Demon,Savage,"Tier 3, Quest Target",,,"Physical, Magic",
