Skill,Cut-in,Type,Element,H-act,Body Parts,Target,Skill Tier,Special effect,Description
Sensory Enhancement,,Active,Magical,Tease,Mind,Enemy,Tier 1,Debuff,Increases target h-damage and health damage taken
Mstrbate,,Active,Physical,Intercourse,Crotch,"Enemy, Self",Tier 1,"Buff, Debuff",Heals self and increase enemy chance of h-attacks
Dancing moves,,Active,Physical,Tease,All,Self,Tier 1,Buff,Increases dodge chance
Flirt,,"Active, Dominant",Magical,Tease,Mouth,Enemy,Tier 1,H-Damage,"Speaks soft words to enemy, enticing them"
Hypnotize,,"Active, Dominant",Magical,Tease,Mind,Enemy,Tier 1,"H-Damage, Debuff","Stuns target for a few turns, dealing h-damage over time"
Get Spanked,,"Active, Masochist, Submissive",Physical,Tease,Ass,"Enemy, Self",Tier 1,H-Damage,"Entices enemy to spank Ayla, dealing h-damage"
Sensory Deprivation,,"Active, Sadist, Dominant",Magical,Tease,Mind,Enemy,Tier 1,"H-Damage, Debuff","Lowers enemy accuracy, defense and dodge chance"
Spank,,"Active, Sadist, Dominant",Physical,Tease,Ass,Enemy,Tier 1,"H-Damage, Health Damage",Spanks enemy
Instill protectiveness,,"Active, Submissive",Magical,Tease,All,Ally,Tier 1,Buff,Increases chance that allies will be targeted by enemy attacks
Bl-job,,"Active, Submissive",Physical,Intercourse,Mouth,Enemy,Tier 1,H-Damage,-
Lay,,"Active, Submissive",Physical,Intercourse,Crotch,Enemy,Tier 1,H-Damage,Gets fked by enemy
Grope,,"Active, Submissive",Physical,Tease,"Ass, Breast",Enemy,Tier 1,H-Damage,Gets groped by enemy
Service,,"Active, Submissive",Physical,Intercourse,Mouth,Ally,Tier 1,Buff,Heals ally
H-job,,"Active, Submissive",Physical,Intercourse,Mind,Enemy,Tier 1,H-Damage,Uses hands on sensitive spots
Bend,,"Active, Submissive, Masochist",Physical,Intercourse,Ass,Enemy,Tier 1,Debuff,H-damage over time to 1 enemy
AS,,"Active, Submissive, Masochist",Physical,Intercourse,Ass,Enemy,Tier 1,"H-Damage, Debuff",Increases enemy H-damage taken every turn this is used in a row
S Symbol,,Passive,Magical,Intercourse,All,"Ally, Self",Tier 1,Buff,Heals when H-gauge overfills
Otherworldy Charm,,Passive,Magical,Tease,All,Enemy,Tier 1,Debuff,"Increases chance of H-attacks, lowers chance of health attacks"
Piercing Stares,,Passive,Physical,Tease,Breast,Enemy,Tier 1,Debuff,Deals H-damage every turn if wearing piercings
Sadism,,Passive,Physical,Intercourse,"Crotch, Mouth",Enemy,Tier 1,Buff,Increases health damage given
Masochism,,Passive,Physical,Intercourse,"Ass, Breast",Enemy,Tier 1,Buff,Lowers health damage taken
