Outfits,Normal (Lace),Nude,Slave,Shibari,CowPrint,Dancer,Witch,Armor,Nun,Dress,Demon Armor
Image,,,,,,,,,,,
Stats,,,,,,,,,,,
Special Effects,,,,,,,,,,,
How to Obtain,,,,,,,,,,,
Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Character Sheet,,,,,,,,,,,
Stats,Body,Agility,Soul,Charm,,,,,,,
,"-Health damage inflicted
-Damage resistance
-Health pool","-Dodging
-Accuracy
-Initiative","-Magic attack
-H-resistance","-H-damage
-H-accuracy
-Enemy H-attack likelyhood",,,,,,,
H-stats,Sadism,Masochism,Submission,Dominance,,,,,,,
,"-Health damage inflicted
-Accuracy","-H-resistance
-Damage Resistance
-Debuff resistance","-Enemy h-attack likelyhood
-H-damage
-Buff empowerment","-H-damage
-H-accuracy
-Resistance to H-attacks",,,,,,,
Secondary Sheet,,,,,,,,,,,
Active effects,equipment passives,skill passives,curses,,,,,,,,
Preferences,h-preference,enemy preference,position preference,skill preference,,,,,,,
H-experience,gasms,S-volume,Amount of times,,,,,,,,
Multipliers,Ass,Breasts,Crotch,Mouth,Mind,,,,,,
Enemies Defeated,,,,,,,,,,,
Strongest Enemy Defeated,,,,,,,,,,,
Times Defeated,,,,,,,,,,,
