Image,Name,ID,Type,Stats,Actions,Weakness,Description
,,Ranger,Ally,,,,
,,WitchAlly,Ally that has quest,,,,
,,Dancer,Ally that has quest,,,,
,,Nun,Ally that has quest,,,,
,,Reaper,Neutral,,,,
,,Dryad,Neutral,,,,
,,Priestess,Quest Giver,,,,
,,Faun,Quest Giver,,,,
,,DemonAlly,Quest Giver,,,,
,,Tavernkeeper,Quest Giver,,,,
,,RebelCommander,Ally but requires quest,,,,
,,Wanderer,Ally but requires quest,,,,
,,Monk,Ally but requires quest,,,,
,,EnemyCommander,QuestTarget,,,,
,,Demonkin,QuestTarget,,,,
,,Alchemist,Quest Giver,,,,
